quant_label,suite,n,correct,partial,wrong,truncated,loops,accuracy,spectacle_only,retention
F16,arithmetic,500,432,0,68,4,3,0.864,False,1.0
F16,arithmetic_twins,94,80,0,14,2,2,0.851063829787234,False,1.0
F16,factual_qa,500,110,0,390,1,0,0.22,False,1.0
F16,longctx_retrieval,96,95,0,1,0,0,0.9895833333333334,False,1.0
IQ2_M,arithmetic,500,369,0,131,19,12,0.738,False,0.8541666666666666
IQ2_M,arithmetic_twins,94,63,0,31,2,1,0.6702127659574468,False,0.7875
IQ2_M,factual_qa,500,65,0,435,7,3,0.13,False,0.5909090909090909
IQ2_M,longctx_retrieval,96,85,0,11,6,2,0.8854166666666666,False,0.894736842105263
Q2_K,arithmetic,500,373,0,127,29,18,0.746,False,0.8634259259259259
Q2_K,arithmetic_twins,94,62,0,32,6,6,0.6595744680851063,False,0.7749999999999999
Q2_K,factual_qa,500,58,0,442,0,0,0.116,False,0.5272727272727273
Q2_K,longctx_retrieval,96,94,0,2,0,0,0.9791666666666666,False,0.9894736842105263
Q3_K_M,arithmetic,500,424,0,76,11,4,0.848,False,0.9814814814814815
Q3_K_M,arithmetic_twins,94,72,0,22,5,2,0.7659574468085106,False,0.9
Q3_K_M,factual_qa,500,88,0,412,4,1,0.176,False,0.7999999999999999
Q3_K_M,longctx_retrieval,96,94,0,2,0,0,0.9791666666666666,False,0.9894736842105263
Q4_K_M,arithmetic,500,431,0,69,9,1,0.862,False,0.9976851851851852
Q4_K_M,arithmetic_twins,94,75,0,19,5,1,0.7978723404255319,False,0.9375
Q4_K_M,factual_qa,500,105,0,395,2,0,0.21,False,0.9545454545454545
Q4_K_M,longctx_retrieval,96,96,0,0,0,0,1.0,False,1.0105263157894737
Q5_K_M,arithmetic,500,420,0,80,7,4,0.84,False,0.9722222222222222
Q5_K_M,arithmetic_twins,94,81,0,13,1,1,0.8617021276595744,False,1.0125
Q5_K_M,factual_qa,500,111,0,389,1,0,0.222,False,1.009090909090909
Q5_K_M,longctx_retrieval,96,95,0,1,0,0,0.9895833333333334,False,1.0
Q6_K,arithmetic,500,435,0,65,8,2,0.87,False,1.0069444444444444
Q6_K,arithmetic_twins,94,77,0,17,5,3,0.8191489361702128,False,0.9625
Q6_K,factual_qa,500,103,0,397,1,0,0.206,False,0.9363636363636363
Q6_K,longctx_retrieval,96,95,0,1,1,0,0.9895833333333334,False,1.0
Q8_0,arithmetic,500,435,0,65,7,1,0.87,False,1.0069444444444444
Q8_0,arithmetic_twins,94,84,0,10,3,1,0.8936170212765957,False,1.05
Q8_0,factual_qa,500,106,0,394,2,0,0.212,False,0.9636363636363636
Q8_0,longctx_retrieval,96,94,0,2,0,0,0.9791666666666666,False,0.9894736842105263
