quant_label,suite,n,correct,partial,wrong,truncated,loops,accuracy,spectacle_only,retention
F16,arithmetic,500,460,0,40,0,0,0.92,False,1.0
F16,arithmetic_twins,94,84,0,10,0,0,0.8936170212765957,False,1.0
F16,factual_qa,500,72,0,428,7,0,0.144,False,1.0
F16,longctx_retrieval,96,96,0,0,2,0,1.0,False,1.0
IQ2_M,arithmetic,500,424,0,76,0,0,0.848,False,0.9217391304347825
IQ2_M,arithmetic_twins,94,77,0,17,0,0,0.8191489361702128,False,0.9166666666666667
IQ2_M,factual_qa,500,55,0,445,1,0,0.11,False,0.763888888888889
IQ2_M,longctx_retrieval,96,90,0,6,0,0,0.9375,False,0.9375
Q2_K,arithmetic,500,437,0,63,1,1,0.874,False,0.95
Q2_K,arithmetic_twins,94,81,0,13,2,2,0.8617021276595744,False,0.9642857142857143
Q2_K,factual_qa,500,74,0,426,2,0,0.148,False,1.027777777777778
Q2_K,longctx_retrieval,96,93,0,3,15,0,0.96875,False,0.96875
Q3_K_M,arithmetic,500,456,0,44,0,0,0.912,False,0.9913043478260869
Q3_K_M,arithmetic_twins,94,86,0,8,0,0,0.9148936170212766,False,1.023809523809524
Q3_K_M,factual_qa,500,73,0,427,3,0,0.146,False,1.0138888888888888
Q3_K_M,longctx_retrieval,96,96,0,0,7,0,1.0,False,1.0
Q4_K_M,arithmetic,500,457,0,43,0,0,0.914,False,0.9934782608695653
Q4_K_M,arithmetic_twins,94,85,0,9,0,0,0.9042553191489362,False,1.011904761904762
Q4_K_M,factual_qa,500,73,0,427,8,0,0.146,False,1.0138888888888888
Q4_K_M,longctx_retrieval,96,96,0,0,1,0,1.0,False,1.0
Q5_K_M,arithmetic,500,457,0,43,0,0,0.914,False,0.9934782608695653
Q5_K_M,arithmetic_twins,94,82,0,12,0,0,0.8723404255319149,False,0.9761904761904763
Q5_K_M,factual_qa,500,72,0,428,7,0,0.144,False,1.0
Q5_K_M,longctx_retrieval,96,96,0,0,2,0,1.0,False,1.0
Q6_K,arithmetic,500,468,0,32,0,0,0.936,False,1.0173913043478262
Q6_K,arithmetic_twins,94,85,0,9,0,0,0.9042553191489362,False,1.011904761904762
Q6_K,factual_qa,500,73,0,427,6,0,0.146,False,1.0138888888888888
Q6_K,longctx_retrieval,96,96,0,0,1,0,1.0,False,1.0
Q8_0,arithmetic,500,460,0,40,0,0,0.92,False,1.0
Q8_0,arithmetic_twins,94,84,0,10,0,0,0.8936170212765957,False,1.0
Q8_0,factual_qa,500,75,0,425,8,0,0.15,False,1.0416666666666667
Q8_0,longctx_retrieval,96,96,0,0,2,0,1.0,False,1.0
