quant_label,suite,n,correct,partial,wrong,truncated,loops,accuracy,spectacle_only,retention
F16,arithmetic,500,432,0,68,4,3,0.864,False,1.0
F16,arithmetic_twins,94,80,0,14,2,2,0.851063829787234,False,1.0
F16,factual_qa,500,110,0,390,1,0,0.22,False,1.0
F16,longctx_retrieval,96,95,0,1,0,0,0.9895833333333334,False,1.0
mradermacher_i1_Q3_K_M,arithmetic,500,416,0,84,15,9,0.832,False,0.9629629629629629
mradermacher_i1_Q3_K_M,arithmetic_twins,94,70,0,24,8,5,0.7446808510638298,False,0.875
mradermacher_i1_Q3_K_M,factual_qa,500,88,0,412,0,0,0.176,False,0.7999999999999999
mradermacher_i1_Q3_K_M,longctx_retrieval,96,94,0,2,0,0,0.9791666666666666,False,0.9894736842105263
mradermacher_i1_Q4_K_M,arithmetic,500,434,0,66,9,1,0.868,False,1.0046296296296295
mradermacher_i1_Q4_K_M,arithmetic_twins,94,73,0,21,1,0,0.776595744680851,False,0.9125
mradermacher_i1_Q4_K_M,factual_qa,500,102,0,398,0,0,0.204,False,0.9272727272727272
mradermacher_i1_Q4_K_M,longctx_retrieval,96,96,0,0,0,0,1.0,False,1.0105263157894737
mradermacher_static_Q3_K_M,arithmetic,500,416,0,84,15,5,0.832,False,0.9629629629629629
mradermacher_static_Q3_K_M,arithmetic_twins,94,70,0,24,9,5,0.7446808510638298,False,0.875
mradermacher_static_Q3_K_M,factual_qa,500,82,0,418,0,0,0.164,False,0.7454545454545455
mradermacher_static_Q3_K_M,longctx_retrieval,96,92,0,4,2,0,0.9583333333333334,False,0.968421052631579
mradermacher_static_Q4_K_M,arithmetic,500,434,0,66,8,2,0.868,False,1.0046296296296295
mradermacher_static_Q4_K_M,arithmetic_twins,94,78,0,16,3,1,0.8297872340425532,False,0.975
mradermacher_static_Q4_K_M,factual_qa,500,101,0,399,0,0,0.202,False,0.9181818181818182
mradermacher_static_Q4_K_M,longctx_retrieval,96,96,0,0,0,0,1.0,False,1.0105263157894737
unsloth_Q3_K_M,arithmetic,500,414,0,86,18,9,0.828,False,0.9583333333333333
unsloth_Q3_K_M,arithmetic_twins,94,79,0,15,2,1,0.8404255319148937,False,0.9875
unsloth_Q3_K_M,factual_qa,500,88,0,412,2,0,0.176,False,0.7999999999999999
unsloth_Q3_K_M,longctx_retrieval,96,95,0,1,1,0,0.9895833333333334,False,1.0
unsloth_Q4_K_M,arithmetic,500,434,0,66,4,1,0.868,False,1.0046296296296295
unsloth_Q4_K_M,arithmetic_twins,94,80,0,14,2,1,0.851063829787234,False,1.0
unsloth_Q4_K_M,factual_qa,500,100,0,400,4,1,0.2,False,0.9090909090909092
unsloth_Q4_K_M,longctx_retrieval,96,94,0,2,1,0,0.9791666666666666,False,0.9894736842105263
